username,market_influence_score,Followers,account_avg_likes,total_posts_count,engagement_rate_60d,New Post Avg. Likes,Total Likes
travisscott,78.0,46500000.0,3000000.0,3200.0,0.057,2600000.0,9600000000.0
stephencurry30,84.0,46400000.0,1100000.0,1100.0,0.011,511400.0,1200000000.0
5-Minute Crafts GIRLY,85.0,46200000.0,155400.0,10000.0,0.001,60400.0,1600000000.0
thenotoriousmma,82.0,46200000.0,1100000.0,3200.0,0.006,287400.0,3500000000.0
daddyyankee,80.0,46100000.0,650000.0,35.0,0.008,346900.0,22800000.0
natgeotravel,82.0,45800000.0,189900.0,16900.0,0.001,52800.0,3200000000.0
vancityreynolds,86.0,45600000.0,1200000.0,695.0,0.028,1300000.0,861000000.0
nikefootball,85.0,45400000.0,411600.0,1800.0,0.003,137400.0,756600000.0
maisa,42.0,45100000.0,550600.0,1500.0,0.005,217200.0,829800000.0
jannatzubair29,84.0,44600000.0,1300000.0,1700.0,0.016,693700.0,2200000000.0
luissuarez9,85.0,44400000.0,801800.0,992.0,0.01,414800.0,795400000.0
varundvn,84.0,44400000.0,1100000.0,1900.0,0.013,586200.0,2000000000.0
j.m,83.0,44200000.0,14400000.0,28.0,0.228,10000000.0,402100000.0
hrithikroshan,85.0,44200000.0,1600000.0,617.0,0.018,780500.0,958900000.0
gusttavolima,76.0,44100000.0,475100.0,4900.0,0.007,303900.0,2300000000.0
theweeknd,83.0,43800000.0,1100000.0,735.0,0.04,1600000.0,839000000.0
nickyjampr,81.0,43500000.0,379100.0,10000.0,0.003,129100.0,3800000000.0
buzzfeedtasty,85.0,43500000.0,63500.0,9300.0,0.001,23600.0,590900000.0
brunamarquezine,84.0,43400000.0,943500.0,3000.0,0.009,363100.0,2900000000.0
badbunnypr,83.0,43400000.0,3700000.0,20.0,0.131,5500000.0,75000000.0
kapilsharma,83.0,43100000.0,736300.0,1000.0,0.015,625400.0,745900000.0
caradelevingne,86.0,42900000.0,790700.0,3700.0,0.008,362200.0,3000000000.0
norafatehi,83.0,42500000.0,1400000.0,1700.0,0.018,727500.0,2400000000.0
britneyspears,80.0,42100000.0,511200.0,3100.0,0.007,285900.0,1600000000.0
mariliamendoncacantora,73.0,41800000.0,1000000.0,1500.0,0.02,817900.0,1500000000.0
